# density density term, wannier index:    1
# ispin/jspin =1/1   iatom =  1
      0.000000000000000E+00   0.217832524997819E+01        0.290774626882485E-21
      0.541404133800905E+00   0.232507862782947E+01        0.103882229927837E-20
      0.108280826760181E+01   0.253983348390948E+01        0.289977448938313E-21
      0.162421240140272E+01   0.277434922869838E+01        0.556227033925305E-20
      0.216561653520362E+01   0.302396037356099E+01        0.130153986720907E-20
      0.270702066900453E+01   0.327962134411236E+01        0.539167576590466E-20
      0.324842480280543E+01   0.353271578399680E+01        0.207442286359321E-21
      0.378982893660634E+01   0.377646738838181E+01        0.382573130963180E-20
      0.433123307040724E+01   0.400571928495027E+01        0.319827163757626E-20
      0.487263720420815E+01   0.421866891654344E+01        0.465167658795561E-20
      0.541404133800906E+01   0.441396394650228E+01        0.246486189904267E-20
      0.595544547180996E+01   0.459180615828573E+01        0.213108369975204E-20
      0.649684960561087E+01   0.475277027350897E+01        0.271885405270833E-20
      0.703825373941177E+01   0.489816839396210E+01        0.197527972790160E-20
      0.757965787321268E+01   0.502925110693051E+01        0.144983681162546E-20
      0.812106200701358E+01   0.514747534588803E+01        0.250038717750314E-20
      0.866246614081449E+01   0.525409330194373E+01        0.590627564015161E-20
      0.920387027461539E+01   0.535038483841117E+01        0.557864929726840E-20
      0.974527440841630E+01   0.543742730653170E+01        0.325483838994988E-20
      0.102866785422172E+02   0.551626930236222E+01        0.208299754835480E-20
      0.108280826760181E+02   0.558778765220064E+01        0.408492623335060E-22
      0.113694868098190E+02   0.565281418277123E+01       -0.582187219553745E-21
      0.119108909436199E+02   0.571204226155395E+01        0.337252075860962E-20
      0.124522950774208E+02   0.576612042502195E+01        0.229601551124963E-20
      0.129936992112217E+02   0.581558897463067E+01        0.238299972951686E-20
      0.135351033450226E+02   0.586094988878183E+01        0.318336080201496E-20
      0.140765074788235E+02   0.590262209376075E+01       -0.162031815969292E-20
      0.146179116126244E+02   0.594099406917359E+01        0.515832033346123E-20
      0.151593157464254E+02   0.597639108250946E+01        0.244900366032295E-20
      0.157007198802263E+02   0.600911508550120E+01        0.390876514819508E-20
      0.157627917529558E+02   0.601257330824059E+01        0.490397557149984E-20
      0.162695565501765E+02   0.604083828835365E+01        0.691219621076723E-21
      0.173397875721229E+02   0.609434581699228E+01       -0.620480326932701E-21
      0.190990071841470E+02   0.616741846055080E+01       -0.499181549446684E-20
      0.217699012074488E+02   0.625275649740337E+01       -0.925517953849766E-21
      0.257270828281579E+02   0.634157751927362E+01        0.103788229837024E-20
      0.315998443833486E+02   0.642619162279131E+01        0.375006707903890E-20
      0.404680107759795E+02   0.650127267436876E+01        0.116878217043697E-20
      0.542476347760919E+02   0.656488436576218E+01        0.451299181593944E-20
      0.764808824713656E+02   0.661761224806328E+01        0.243751166895186E-20
      0.114018072692562E+03   0.666020784904838E+01        0.537444425761261E-21
      0.180705269614673E+03   0.669178856358184E+01       -0.215255014905151E-20
      0.305434012775273E+03   0.671128663187391E+01       -0.309653651864709E-20
      0.547861431935598E+03   0.672053646348424E+01        0.106059002863484E-20
      0.101449265500071E+04   0.672386840176625E+01       -0.162216315320816E-21
      0.179192371449839E+04   0.672484124937245E+01       -0.329294949130139E-20
      0.258470347364268E+04   0.672508275194164E+01        0.437275503097863E-21
      0.272055577234955E+04   0.672510458396287E+01       -0.936413828057061E-21
