# Slater integral representation for U_matrix
# ispin/jspin =1/1   iatom =  1  L =  0
  0.000000000000000E+00  0.160997797990929E+01
  0.541404133800905E+00  0.190380102928976E+01
  0.108280826760181E+01  0.209698805894292E+01
  0.162421240140272E+01  0.231412707773164E+01
  0.216561653520362E+01  0.254763445766947E+01
  0.270702066900453E+01  0.279068322692644E+01
  0.324842480280543E+01  0.303657103823972E+01
  0.378982893660634E+01  0.327932873178659E+01
  0.433123307040724E+01  0.351370195953801E+01
  0.487263720420815E+01  0.373694719028974E+01
  0.541404133800906E+01  0.394665301815947E+01
  0.595544547180996E+01  0.414187038851079E+01
  0.649684960561087E+01  0.432214254943100E+01
  0.703825373941177E+01  0.448791167184700E+01
  0.757965787321268E+01  0.463974973868278E+01
  0.812106200701358E+01  0.477861323996753E+01
  0.866246614081449E+01  0.490539217364147E+01
  0.920387027461539E+01  0.502112759409350E+01
  0.974527440841630E+01  0.512673797823158E+01
  0.102866785422172E+02  0.522318804861231E+01
  0.108280826760181E+02  0.531131120926021E+01
  0.113694868098190E+02  0.539193816960149E+01
  0.119108909436199E+02  0.546577803538889E+01
  0.124522950774208E+02  0.553351734670669E+01
  0.129936992112217E+02  0.559573840493749E+01
  0.135351033450226E+02  0.565299601203450E+01
  0.140765074788235E+02  0.570575961244328E+01
  0.146179116126244E+02  0.575447286897548E+01
  0.151593157464254E+02  0.579951129541686E+01
  0.157007198802263E+02  0.584122861439959E+01
  0.157627917529558E+02  0.584563789642158E+01
  0.162695565501765E+02  0.588173568442258E+01
  0.173397875721229E+02  0.595019223202488E+01
  0.190990071841470E+02  0.604387385354523E+01
  0.217699012074488E+02  0.615340809077728E+01
  0.257270828281579E+02  0.626720970540108E+01
  0.315998443833486E+02  0.637484951263241E+01
  0.404680107759795E+02  0.646886676002965E+01
  0.542476347760919E+02  0.654634877640803E+01
  0.764808824713656E+02  0.660808842066998E+01
  0.114018072692562E+03  0.665585308777369E+01
  0.180705269614673E+03  0.669003569674437E+01
  0.305434012775273E+03  0.671066931745655E+01
  0.547861431935598E+03  0.672034384963936E+01
  0.101449265500071E+04  0.672381218705716E+01
  0.179192371449839E+04  0.672482325947600E+01
  0.258470347364268E+04  0.672507410283329E+01
  0.272055577234955E+04  0.672509677554611E+01
