0.0628319 -1.00012 -0.204542
0.188496 -1.00017 -0.493943
0.314159 -1.00037 -0.71574
0.439823 -1.00017 -0.888265
0.565487 -0.999715 -1.02287
0.69115 -0.999527 -1.12793
0.816814 -1.00007 -1.20871
0.942478 -0.999735 -1.27082
1.06814 -0.999749 -1.31947
1.19381 -1.00038 -1.35731
1.31947 -1.0003 -1.38634
1.44513 -1.00041 -1.41001
1.5708 -1.00026 -1.42992
1.69646 -1.00011 -1.44778
1.82212 -0.999841 -1.46166
1.94779 -0.999785 -1.47492
2.07345 -1.00005 -1.48659
2.19911 -0.999867 -1.49842
2.32478 -0.998903 -1.50789
2.45044 -0.999241 -1.51932
2.57611 -0.999653 -1.52847
2.70177 -0.999807 -1.53855
2.82743 -0.999902 -1.54827
2.9531 -0.999003 -1.55708
3.07876 -0.999373 -1.56598
3.20442 -0.998639 -1.57577
3.33009 -0.998706 -1.58571
3.45575 -0.999502 -1.59335
3.58142 -1.00014 -1.60349
3.70708 -0.999875 -1.61243
3.83274 -0.999517 -1.6212
3.95841 -0.99807 -1.6281
4.08407 -1.00026 -1.63634
4.20973 -0.999489 -1.64265
4.3354 -0.999958 -1.65017
4.46106 -0.999118 -1.65622
4.58673 -0.999667 -1.66453
4.71239 -0.999344 -1.67159
4.83805 -0.998517 -1.67732
4.96372 -1.00067 -1.68252
5.08938 -1.00048 -1.68932
5.21504 -0.999611 -1.69313
5.34071 -0.999375 -1.69688
5.46637 -1.00146 -1.70095
5.59203 -0.99899 -1.70464
5.7177 -1.00124 -1.70841
5.84336 -0.999914 -1.71181
5.96903 -0.998928 -1.71482
6.09469 -0.998294 -1.71733
6.22035 -0.99739 -1.72026
6.34602 -0.999947 -1.72345
6.47168 -0.999815 -1.72287
6.59734 -0.999502 -1.72377
6.72301 -0.998083 -1.72544
6.84867 -1.00021 -1.72729
6.97434 -0.99823 -1.7299
7.1 -1.00163 -1.73072
7.22566 -0.99865 -1.73131
7.35133 -0.999666 -1.72843
7.47699 -1.00085 -1.72842
7.60265 -1.00042 -1.72582
7.72832 -0.998557 -1.72682
7.85398 -0.999204 -1.72532
